Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",106.426000,-82.550000,0.000000,top
"C2","22u","C_0805_2012Metric",112.776000,-90.170000,90.000000,top
"C3","10u","C_0603_1608Metric",95.575000,-71.882000,0.000000,top
"C4","100n","C_0402_1005Metric",91.948000,-76.736000,90.000000,top
"C5","100n","C_0402_1005Metric",95.730000,-73.914000,0.000000,top
"C6","100n","C_0402_1005Metric",101.000000,-86.106000,180.000000,top
"C7","100n","C_0402_1005Metric",104.140000,-77.500000,-90.000000,top
"C8","10n","C_0402_1005Metric",91.694000,-81.000000,90.000000,top
"C9","1u","C_0402_1005Metric",89.662000,-84.328000,180.000000,top
"C10","1u","C_0402_1005Metric",89.662000,-85.852000,180.000000,top
"C11","100n","C_0402_1005Metric",95.758000,-86.106000,0.000000,top
"C12","10p","C_0402_1005Metric",89.194000,-77.658000,90.000000,top
"C13","10p","C_0402_1005Metric",89.194000,-79.916000,90.000000,top
"D1","RED","LED_0603_1608Metric",115.200000,-90.400000,-90.000000,top
"FB1","120R","L_0603_1608Metric",91.694000,-85.090000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",117.145000,-78.745000,90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",90.120000,-65.000000,90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",103.210000,-65.000000,90.000000,top
"J4","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",101.080000,-94.750000,-90.000000,top
"R1","1k5","R_0402_1005Metric",115.690000,-86.360000,180.000000,top
"R2","10k","R_0402_1005Metric",85.000000,-72.910000,90.000000,top
"R3","1k5","R_0402_1005Metric",108.800000,-78.140000,-90.000000,top
"R4","1k5","R_0402_1005Metric",95.714000,-90.416000,180.000000,top
"R5","1k5","R_0402_1005Metric",98.000000,-90.416000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",81.374000,-73.660000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",107.696000,-88.900000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",98.000000,-80.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",86.400000,-78.900000,-90.000000,top
